Condition,CodeType,DxCodeLocation,DxCode,,,,,,
CATARACT,ICD9DX,DX1,366.04,,,,,,
CATARACT,ICD9DX,DX1,366.09,,,,,,
CATARACT,ICD9DX,DX1,366.1,,,,,,
CATARACT,ICD9DX,DX1,366.12,,,,,,
CATARACT,ICD9DX,DX1,366.13,,,,,,
CATARACT,ICD9DX,DX1,366.14,,,,,,
CATARACT,ICD9DX,DX1,366.15,,,,,,
CATARACT,ICD9DX,DX1,366.16,,,,,,
CATARACT,ICD9DX,DX1,366.17,,,,,,
CATARACT,ICD9DX,DX1,366.18,,,,,,
CATARACT,ICD9DX,DX1,366.19,,,,,,
CATARACT,ICD9DX,DX1,366.2,,,,,,
CATARACT,ICD9DX,DX1,366.21,,,,,,
CATARACT,ICD9DX,DX1,366.22,,,,,,
CATARACT,ICD9DX,DX1,366.23,,,,,,
CATARACT,ICD9DX,DX1,366.3,,,,,,
CATARACT,ICD9DX,DX1,366.45,,,,,,
CATARACT,ICD9DX,DX1,366.46,,,,,,
CATARACT,ICD9DX,DX1,366.5,,,,,,
CATARACT,ICD9DX,DX1,366.51,,,,,,
CATARACT,ICD9DX,DX1,366.52,,,,,,
CATARACT,ICD9DX,DX1,366.53,,,,,,
CATARACT,ICD9DX,DX1,366.8,,,,,,
CATARACT,ICD9DX,DX1,366.9,,,,,,
CATARACT,ICD9DX,DX1,379.26,,,,,,
CATARACT,ICD9DX,DX1,379.31,,,,,,
CATARACT,ICD9DX,DX1,379.39,,,,,,
CATARACT,ICD9DX,DX1,743.3,,,,,,
CATARACT,ICD9DX,DX1,743.31,,,,,,
CATARACT,ICD9DX,DX1,743.32,,,,,,
CATARACT,ICD9DX,DX1,743.33,,,,,,
CATARACT,ICD9DX,DX1,V43.1,,,,,,
CHF,ICD10DX,ANY,I09.81,,,,,,
CHF,ICD10DX,ANY,I11.0,,,,,,
CHF,ICD10DX,ANY,I13.0,,,,,,
CHF,ICD10DX,ANY,I13.2,,,,,,
CHF,ICD10DX,ANY,I50.1,,,,,,
